g/km;e/day;e/365day
319;1.537;561
320;1.542;562.83
321;1.546;564.29
322;1.55;565.75
323;1.555;567.57
324;1.559;569.03
325;1.563;570.49
326;1.567;571.95
327;1.572;573.78
328;1.576;575.24
329;1.58;576.7
330;1.584;578.16
331;1.588;579.62
332;1.592;581.08
333;1.596;582.54
334;1.6;584
335;1.604;585.46
336;1.608;586.92
337;1.612;588.38
338;1.616;589.84
339;1.619;590.93
340;1.623;592.39
341;1.627;593.85
342;1.631;595.31
343;1.634;596.41
344;1.638;597.87
345;1.642;599.33
346;1.645;600.42
347;1.649;601.88
348;1.652;602.98
349;1.656;604.44
350;1.659;605.53
351;1.663;606.99
352;1.666;608.09
353;1.669;609.18
354;1.673;610.64
355;1.676;611.74
356;1.679;612.83
357;1.682;613.93
358;1.685;615.02
359;1.689;616.48
360;1.692;617.58
361;1.695;618.67
362;1.698;619.77
363;1.701;620.86
364;1.704;621.96
365;1.707;623.05
366;1.71;624.15
367;1.713;625.24
368;1.716;626.34
369;1.719;627.43
370;1.721;628.16
371;1.724;629.26
372;1.727;630.35
373;1.73;631.45
374;1.732;632.18
375;1.735;633.27
376;1.738;634.37
377;1.74;635.1
378;1.743;636.19
379;1.745;636.92
380;1.748;638.02
381;1.751;639.11
382;1.753;639.84
383;1.755;640.57
384;1.758;641.67
385;1.76;642.4
386;1.763;643.49
387;1.765;644.22
388;1.767;644.95
389;1.77;646.05
390;1.772;646.78
391;1.774;647.51
392;1.776;648.24
393;1.779;649.33
394;1.781;650.06
395;1.783;650.79
396;1.785;651.52
397;1.787;652.25
398;1.789;652.98
399;1.791;653.71
