"Month";"Price component";"Type of consumer";"Price (c/kWh)"
"2013M09";"Total price";"Household customer, annual consumption > 15 000 kWh";12.269
"2013M10";"Total price";"Household customer, annual consumption < 1 000 kW";20.902
"2013M10";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.420
"2013M10";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.734
"2013M10";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.429
"2013M10";"Total price";"Household customer, annual consumption > 15 000 kWh";12.136
"2013M11";"Total price";"Household customer, annual consumption < 1 000 kW";20.941
"2013M11";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.387
"2013M11";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.700
"2013M11";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.394
"2013M11";"Total price";"Household customer, annual consumption > 15 000 kWh";12.111
"2013M12";"Total price";"Household customer, annual consumption < 1 000 kW";20.884
"2013M12";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.327
"2013M12";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.662
"2013M12";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.390
"2013M12";"Total price";"Household customer, annual consumption > 15 000 kWh";12.095
"2014M01";"Total price";"Household customer, annual consumption < 1 000 kW";20.411
"2014M01";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.584
"2014M01";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.053
"2014M01";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.752
"2014M01";"Total price";"Household customer, annual consumption > 15 000 kWh";12.450
"2014M02";"Total price";"Household customer, annual consumption < 1 000 kW";20.730
"2014M02";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.778
"2014M02";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.115
"2014M02";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.736
"2014M02";"Total price";"Household customer, annual consumption > 15 000 kWh";12.400
"2014M03";"Total price";"Household customer, annual consumption < 1 000 kW";20.537
"2014M03";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.561
"2014M03";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.889
"2014M03";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.520
"2014M03";"Total price";"Household customer, annual consumption > 15 000 kWh";12.241
"2014M04";"Total price";"Household customer, annual consumption < 1 000 kW";20.852
"2014M04";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.603
"2014M04";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.856
"2014M04";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.467
"2014M04";"Total price";"Household customer, annual consumption > 15 000 kWh";12.156
"2014M05";"Total price";"Household customer, annual consumption < 1 000 kW";20.847
"2014M05";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.573
"2014M05";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.815
"2014M05";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.416
"2014M05";"Total price";"Household customer, annual consumption > 15 000 kWh";12.106
"2014M06";"Total price";"Household customer, annual consumption < 1 000 kW";20.936
"2014M06";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.650
"2014M06";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.848
"2014M06";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.419
"2014M06";"Total price";"Household customer, annual consumption > 15 000 kWh";12.099
"2014M07";"Total price";"Household customer, annual consumption < 1 000 kW";20.904
"2014M07";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.531
"2014M07";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.659
"2014M07";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.213
"2014M07";"Total price";"Household customer, annual consumption > 15 000 kWh";11.945
"2014M08";"Total price";"Household customer, annual consumption < 1 000 kW";21.066
"2014M08";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.520
"2014M08";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.668
"2014M08";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.250
"2014M08";"Total price";"Household customer, annual consumption > 15 000 kWh";11.941
"2014M09";"Total price";"Household customer, annual consumption < 1 000 kW";20.980
"2014M09";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.608
"2014M09";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.776
"2014M09";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.328
"2014M09";"Total price";"Household customer, annual consumption > 15 000 kWh";12.016
"2014M10";"Total price";"Household customer, annual consumption < 1 000 kW";20.701
"2014M10";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.489
"2014M10";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.722
"2014M10";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.296
"2014M10";"Total price";"Household customer, annual consumption > 15 000 kWh";12.030
"2014M11";"Total price";"Household customer, annual consumption < 1 000 kW";20.560
"2014M11";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.460
"2014M11";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.693
"2014M11";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.304
"2014M11";"Total price";"Household customer, annual consumption > 15 000 kWh";12.027
"2014M12";"Total price";"Household customer, annual consumption < 1 000 kW";20.713
"2014M12";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.340
"2014M12";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.610
"2014M12";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.271
"2014M12";"Total price";"Household customer, annual consumption > 15 000 kWh";11.955
"2015M01";"Total price";"Household customer, annual consumption < 1 000 kW";21.080
"2015M01";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.757
"2015M01";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.007
"2015M01";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.638
"2015M01";"Total price";"Household customer, annual consumption > 15 000 kWh";12.350
"2015M02";"Total price";"Household customer, annual consumption < 1 000 kW";21.203
"2015M02";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.756
"2015M02";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.979
"2015M02";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.590
"2015M02";"Total price";"Household customer, annual consumption > 15 000 kWh";12.310
"2015M03";"Total price";"Household customer, annual consumption < 1 000 kW";21.371
"2015M03";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.614
"2015M03";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.827
"2015M03";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.469
"2015M03";"Total price";"Household customer, annual consumption > 15 000 kWh";12.204
"2015M04";"Total price";"Household customer, annual consumption < 1 000 kW";21.507
"2015M04";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.626
"2015M04";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.799
"2015M04";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.416
"2015M04";"Total price";"Household customer, annual consumption > 15 000 kWh";12.115
"2015M05";"Total price";"Household customer, annual consumption < 1 000 kW";21.173
"2015M05";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.539
"2015M05";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.737
"2015M05";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.341
"2015M05";"Total price";"Household customer, annual consumption > 15 000 kWh";12.028
"2015M06";"Total price";"Household customer, annual consumption < 1 000 kW";21.325
"2015M06";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.580
"2015M06";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.718
"2015M06";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.266
"2015M06";"Total price";"Household customer, annual consumption > 15 000 kWh";11.995
"2015M07";"Total price";"Household customer, annual consumption < 1 000 kW";21.179
"2015M07";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.533
"2015M07";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.676
"2015M07";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.257
"2015M07";"Total price";"Household customer, annual consumption > 15 000 kWh";11.975
"2015M08";"Total price";"Household customer, annual consumption < 1 000 kW";21.221
"2015M08";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.525
"2015M08";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.677
"2015M08";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.277
"2015M08";"Total price";"Household customer, annual consumption > 15 000 kWh";11.956
"2015M09";"Total price";"Household customer, annual consumption < 1 000 kW";21.075
"2015M09";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.516
"2015M09";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.680
"2015M09";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.253
"2015M09";"Total price";"Household customer, annual consumption > 15 000 kWh";11.932
"2015M10";"Total price";"Household customer, annual consumption < 1 000 kW";20.780
"2015M10";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.432
"2015M10";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.621
"2015M10";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.212
"2015M10";"Total price";"Household customer, annual consumption > 15 000 kWh";11.934
"2015M11";"Total price";"Household customer, annual consumption < 1 000 kW";20.942
"2015M11";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.383
"2015M11";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.559
"2015M11";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.150
"2015M11";"Total price";"Household customer, annual consumption > 15 000 kWh";11.884
"2015M12";"Total price";"Household customer, annual consumption < 1 000 kW";20.743
"2015M12";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.321
"2015M12";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.534
"2015M12";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.126
"2015M12";"Total price";"Household customer, annual consumption > 15 000 kWh";11.835
"2016M01";"Total price";"Household customer, annual consumption < 1 000 kW";20.956
"2016M01";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.422
"2016M01";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.599
"2016M01";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.142
"2016M01";"Total price";"Household customer, annual consumption > 15 000 kWh";11.838
"2016M02";"Total price";"Household customer, annual consumption < 1 000 kW";20.855
"2016M02";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.433
"2016M02";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.570
"2016M02";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.068
"2016M02";"Total price";"Household customer, annual consumption > 15 000 kWh";11.696
"2016M03";"Total price";"Household customer, annual consumption < 1 000 kW";20.906
"2016M03";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.583
"2016M03";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.695
"2016M03";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.156
"2016M03";"Total price";"Household customer, annual consumption > 15 000 kWh";11.762
"2016M04";"Total price";"Household customer, annual consumption < 1 000 kW";21.201
"2016M04";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.729
"2016M04";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.798
"2016M04";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.185
"2016M04";"Total price";"Household customer, annual consumption > 15 000 kWh";11.733
"2016M05";"Total price";"Household customer, annual consumption < 1 000 kW";21.382
"2016M05";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.762
"2016M05";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.818
"2016M05";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.167
"2016M05";"Total price";"Household customer, annual consumption > 15 000 kWh";11.703
"2016M06";"Total price";"Household customer, annual consumption < 1 000 kW";20.887
"2016M06";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.539
"2016M06";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.743
"2016M06";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.179
"2016M06";"Total price";"Household customer, annual consumption > 15 000 kWh";11.792
"2016M07";"Total price";"Household customer, annual consumption < 1 000 kW";21.408
"2016M07";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.762
"2016M07";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.794
"2016M07";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.143
"2016M07";"Total price";"Household customer, annual consumption > 15 000 kWh";11.741
"2016M08";"Total price";"Household customer, annual consumption < 1 000 kW";21.411
"2016M08";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.766
"2016M08";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.796
"2016M08";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.118
"2016M08";"Total price";"Household customer, annual consumption > 15 000 kWh";11.715
"2016M09";"Total price";"Household customer, annual consumption < 1 000 kW";21.338
"2016M09";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.730
"2016M09";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.762
"2016M09";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.137
"2016M09";"Total price";"Household customer, annual consumption > 15 000 kWh";11.749
"2016M10";"Total price";"Household customer, annual consumption < 1 000 kW";21.343
"2016M10";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.760
"2016M10";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.808
"2016M10";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.175
"2016M10";"Total price";"Household customer, annual consumption > 15 000 kWh";11.824
"2016M11";"Total price";"Household customer, annual consumption < 1 000 kW";21.356
"2016M11";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.722
"2016M11";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.808
"2016M11";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.212
"2016M11";"Total price";"Household customer, annual consumption > 15 000 kWh";11.897
"2016M12";"Total price";"Household customer, annual consumption < 1 000 kW";21.465
"2016M12";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";17.881
"2016M12";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";15.953
"2016M12";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.291
"2016M12";"Total price";"Household customer, annual consumption > 15 000 kWh";11.887
"2017M01";"Total price";"Household customer, annual consumption < 1 000 kW";21.788
"2017M01";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.068
"2017M01";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.085
"2017M01";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.353
"2017M01";"Total price";"Household customer, annual consumption > 15 000 kWh";11.922
"2017M02";"Total price";"Household customer, annual consumption < 1 000 kW";21.906
"2017M02";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.124
"2017M02";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.128
"2017M02";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.369
"2017M02";"Total price";"Household customer, annual consumption > 15 000 kWh";11.912
"2017M03";"Total price";"Household customer, annual consumption < 1 000 kW";22.035
"2017M03";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.253
"2017M03";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.217
"2017M03";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.381
"2017M03";"Total price";"Household customer, annual consumption > 15 000 kWh";11.861
"2017M04";"Total price";"Household customer, annual consumption < 1 000 kW";22.332
"2017M04";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.401
"2017M04";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.323
"2017M04";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.418
"2017M04";"Total price";"Household customer, annual consumption > 15 000 kWh";11.870
"2017M05";"Total price";"Household customer, annual consumption < 1 000 kW";22.560
"2017M05";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.493
"2017M05";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.394
"2017M05";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.448
"2017M05";"Total price";"Household customer, annual consumption > 15 000 kWh";11.869
"2017M06";"Total price";"Household customer, annual consumption < 1 000 kW";22.487
"2017M06";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.544
"2017M06";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.407
"2017M06";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.430
"2017M06";"Total price";"Household customer, annual consumption > 15 000 kWh";11.857
"2017M07";"Total price";"Household customer, annual consumption < 1 000 kW";22.537
"2017M07";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.556
"2017M07";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.407
"2017M07";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.442
"2017M07";"Total price";"Household customer, annual consumption > 15 000 kWh";11.882
"2017M08";"Total price";"Household customer, annual consumption < 1 000 kW";21.618
"2017M08";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.704
"2017M08";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.632
"2017M08";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.593
"2017M08";"Total price";"Household customer, annual consumption > 15 000 kWh";11.943
"2017M09";"Total price";"Household customer, annual consumption < 1 000 kW";22.350
"2017M09";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.592
"2017M09";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.508
"2017M09";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.518
"2017M09";"Total price";"Household customer, annual consumption > 15 000 kWh";12.005
"2017M10";"Total price";"Household customer, annual consumption < 1 000 kW";22.027
"2017M10";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.456
"2017M10";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.459
"2017M10";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.481
"2017M10";"Total price";"Household customer, annual consumption > 15 000 kWh";12.005
"2017M11";"Total price";"Household customer, annual consumption < 1 000 kW";22.169
"2017M11";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.499
"2017M11";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.439
"2017M11";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.459
"2017M11";"Total price";"Household customer, annual consumption > 15 000 kWh";11.906
"2017M12";"Total price";"Household customer, annual consumption < 1 000 kW";22.655
"2017M12";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.464
"2017M12";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.436
"2017M12";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.474
"2017M12";"Total price";"Household customer, annual consumption > 15 000 kWh";11.919
"2018M01";"Total price";"Household customer, annual consumption < 1 000 kW";22.882
"2018M01";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.616
"2018M01";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.585
"2018M01";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.595
"2018M01";"Total price";"Household customer, annual consumption > 15 000 kWh";12.042
"2018M02";"Total price";"Household customer, annual consumption < 1 000 kW";22.969
"2018M02";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.679
"2018M02";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.647
"2018M02";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.645
"2018M02";"Total price";"Household customer, annual consumption > 15 000 kWh";12.104
"2018M03";"Total price";"Household customer, annual consumption < 1 000 kW";22.892
"2018M03";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.664
"2018M03";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.568
"2018M03";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.612
"2018M03";"Total price";"Household customer, annual consumption > 15 000 kWh";12.058
"2018M04";"Total price";"Household customer, annual consumption < 1 000 kW";23.118
"2018M04";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.802
"2018M04";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.678
"2018M04";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.667
"2018M04";"Total price";"Household customer, annual consumption > 15 000 kWh";12.074
"2018M05";"Total price";"Household customer, annual consumption < 1 000 kW";23.132
"2018M05";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.829
"2018M05";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.679
"2018M05";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.668
"2018M05";"Total price";"Household customer, annual consumption > 15 000 kWh";12.100
"2018M06";"Total price";"Household customer, annual consumption < 1 000 kW";22.561
"2018M06";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";18.940
"2018M06";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";16.760
"2018M06";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";13.702
"2018M06";"Total price";"Household customer, annual consumption > 15 000 kWh";12.153
"2018M07";"Total price";"Household customer, annual consumption < 1 000 kW";23.357
"2018M07";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";19.550
"2018M07";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";17.332
"2018M07";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";14.123
"2018M07";"Total price";"Household customer, annual consumption > 15 000 kWh";12.462
"2018M08";"Total price";"Household customer, annual consumption < 1 000 kW";23.646
"2018M08";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";19.678
"2018M08";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";17.423
"2018M08";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";14.245
"2018M08";"Total price";"Household customer, annual consumption > 15 000 kWh";12.628
"2018M09";"Total price";"Household customer, annual consumption < 1 000 kW";23.352
"2018M09";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";19.632
"2018M09";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";17.429
"2018M09";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";14.280
"2018M09";"Total price";"Household customer, annual consumption > 15 000 kWh";12.651
"2018M10";"Total price";"Household customer, annual consumption < 1 000 kW";23.625
"2018M10";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";19.756
"2018M10";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";17.516
"2018M10";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";14.317
"2018M10";"Total price";"Household customer, annual consumption > 15 000 kWh";12.701
"2018M11";"Total price";"Household customer, annual consumption < 1 000 kW";23.917
"2018M11";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";19.974
"2018M11";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";17.735
"2018M11";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";14.513
"2018M11";"Total price";"Household customer, annual consumption > 15 000 kWh";12.773
"2018M12";"Total price";"Household customer, annual consumption < 1 000 kW";23.855
"2018M12";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";19.949
"2018M12";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";17.735
"2018M12";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";14.562
"2018M12";"Total price";"Household customer, annual consumption > 15 000 kWh";12.798
"2019M01";"Total price";"Household customer, annual consumption < 1 000 kW";24.173
"2019M01";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";19.969
"2019M01";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";17.777
"2019M01";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";14.674
"2019M01";"Total price";"Household customer, annual consumption > 15 000 kWh";12.857
"2019M02";"Total price";"Household customer, annual consumption < 1 000 kW";24.213
"2019M02";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";20.146
"2019M02";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";17.867
"2019M02";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";14.726
"2019M02";"Total price";"Household customer, annual consumption > 15 000 kWh";12.897
"2019M03";"Total price";"Household customer, annual consumption < 1 000 kW";24.069
"2019M03";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";20.151
"2019M03";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";17.812
"2019M03";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";14.673
"2019M03";"Total price";"Household customer, annual consumption > 15 000 kWh";12.806
"2019M04";"Total price";"Household customer, annual consumption < 1 000 kW";24.308
"2019M04";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";20.414
"2019M04";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";17.952
"2019M04";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";14.797
"2019M04";"Total price";"Household customer, annual consumption > 15 000 kWh";12.889
"2019M05";"Total price";"Household customer, annual consumption < 1 000 kW";24.302
"2019M05";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";20.272
"2019M05";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";17.868
"2019M05";"Total price";"Household customer, annual consumption 5 000 kWh - 15 000 kWh";14.694
"2019M05";"Total price";"Household customer, annual consumption > 15 000 kWh";12.869
"2019M06";"Total price";"Household customer, annual consumption < 1 000 kW";24.537
"2019M06";"Total price";"Household customer, annual consumption 1 000 kWh - 2 499 kWh";20.346
"2019M06";"Total price";"Household customer, annual consumption 2 500 kWh - 4 999 kWh";17.868
