index;0;year
Sottunga;19675;1995
Sulkava;15454;1995
Sund;25146;1995
Suomussalmi;18140;1995
Suonenjoki;17395;1995
Sysmä;13482;1995
Säkylä;25384;1995
Taipalsaari;29555;1995
Taivalkoski;19450;1995
Taivassalo;17276;1995
Tammela;21100;1995
Tampere;24548;1995
Tervo;14115;1995
Tervola;16514;1995
Teuva;17835;1995
Tohmajärvi;14362;1995
Toholampi;18271;1995
Toivakka;17846;1995
Tornio;26921;1995
Turku;23635;1995
Tuusniemi;12771;1995
Tuusula;37077;1995
Tyrnävä;20253;1995
Ulvila;28549;1995
Urjala;17372;1995
Utajärvi;15967;1995
Utsjoki;24367;1995
Uurainen;18688;1995
Nykarleby;19927;1995
Uusikaupunki;24671;1995
Vaala;16819;1995
Vaasa;27511;1995
Valkeakoski;28675;1995
Vantaa;36547;1995
Varkaus;23982;1995
Vehmaa;16519;1995
Vesanto;13334;1995
Vesilahti;20031;1995
Veteli;18709;1995
Vieremä;15549;1995
Vihti;33646;1995
Viitasaari;16782;1995
Vimpeli;18891;1995
Virolahti;18209;1995
Virrat;16747;1995
Vårdö;27110;1995
Vörå;18589;1995
Ylitornio;16286;1995
Ylivieska;24440;1995
Ylöjärvi;29460;1995
Ypäjä;17318;1995
Ähtäri;20600;1995
Äänekoski;24942;1995
MK01 Uusimaa;33113;1995
MK02 Southwest Finland;25041;1995
MK04 Satakunta;23650;1995
MK05 Kanta-Häme;23898;1995
MK06 Pirkanmaa;24418;1995
MK07 Päijät-Häme;22667;1995
MK08 Kymenlaakso;25443;1995
MK09 South Karelia;23839;1995
MK10 South Savo;19702;1995
MK11 North Savo;21080;1995
MK12 North Karelia;19153;1995
MK13 Central Finland;22900;1995
MK14 South Ostrobothnia;20431;1995
MK15 Ostrobothnia;25534;1995
MK16 Central Ostrobothnia;23363;1995
MK17 North Ostrobothnia;24744;1995
MK18 Kainuu;21315;1995
MK19 Lapland;23359;1995
MK21 Åland;30558;1995
HVA01 East Uusimaa wellbeing services county;29419;1995
HVA02 Central Uusimaa wellbeing services county;33394;1995
HVA03 West Uusimaa wellbeing services county;38339;1995
HVA04 Vantaa and Kerava wellbeing services county;36507;1995
HVA05 Southwest Finland wellbeing services county;25041;1995
HVA06 Satakunta wellbeing services county;23650;1995
HVA06 Kanta-Häme wellbeing services county;23898;1995
HVA08 Pirkanmaa wellbeing services county;24418;1995
HVA09 Päijät-Häme wellbeing services county;22667;1995
HVA10 Kymenlaakso wellbeing services county;25443;1995
HVA11 South Karelia wellbeing services county;23839;1995
HVA12 South Savo wellbeing services county;19702;1995
HVA13 North Savo wellbeing services county;21080;1995
HVA14 North Karelia wellbeing services county;19153;1995
HVA15 Central Finland wellbeing services county;22900;1995
HVA16 South Ostrobothnia wellbeing services county;20431;1995
HVA17 Ostrobothnia wellbeing services county;25534;1995
HVA18 Central Ostrobothnia wellbeing services county;23363;1995
HVA19 North Ostrobothnia wellbeing services county;24744;1995
HVA20 Kainuu wellbeing services county;21315;1995
HVA21 Lapland wellbeing services county;23359;1995
HVA90 City of Helsinki;29628;1995
HVA91 Åland;30558;1995
SK011 Helsinki;33614;1995
SK014 Raasepori;26754;1995
SK015 Porvoo;30617;1995
SK016 Loviisa;21723;1995
SK021 Åboland-Turunmaa;24673;1995
SK022 Salo;23414;1995
SK023 Turku;26325;1995
SK024 Vakka-Suomi;22876;1995
SK025 Loimaa;19334;1995
SK041 Rauma;26187;1995
SK043 Pori;23132;1995
SK044 Pohjois-Satakunta;18770;1995
SK051 Hämeenlinna;24244;1995
SK052 Riihimäki;25190;1995
SK053 Forssa;21618;1995
SK061 Luoteis-Pirkanmaa;19887;1995
SK063 Etelä-Pirkanmaa;24992;1995
SK064 Tampere;25404;1995
SK068 Lounais-Pirkanmaa;19051;1995
SK069 Ylä-Pirkanmaa;20825;1995
SK071 Lahti;22667;1995
SK081 Kouvola;25913;1995
SK082 Kotka-Hamina;24962;1995
SK091 Lappeenranta;24499;1995
SK093 Imatra;22728;1995
SK101 Mikkeli;19846;1995
SK103 Savonlinna;19859;1995
SK105 Pieksämäki;19075;1995
SK111 Ylä-Savo;17579;1995
SK112 Kuopio;23759;1995
SK113 Koillis-Savo;13419;1995
SK114 Varkaus;22240;1995
SK115 Sisä-Savo;15488;1995
SK122 Joensuu;20222;1995
SK124 Keski-Karjala;16581;1995
SK125 Pielisen Karjala;16662;1995
SK131 Jyväskylä;24581;1995
SK132 Joutsa;14166;1995
SK133 Keuruu;19382;1995
SK134 Jämsä;26162;1995
SK135 Äänekoski;23740;1995
SK138 Saarijärvi-Viitasaari;16182;1995
SK141 Suupohja;16674;1995
SK142 Seinäjoki;22195;1995
SK144 Kuusiokunnat;18687;1995
SK146 Järviseutu;17184;1995
SK152 Vaasa;26399;1995
SK153 Sydösterbotten;20558;1995
SK154 Jakobstadsregionen;25824;1995
SK161 Kaustinen;18145;1995
SK162 Kokkola;25067;1995
SK171 Oulu;27720;1995
SK173 Oulunkaari;17626;1995
SK174 Raahe;28643;1995
SK175 Haapavesi-Siikalatva;19234;1995
SK176 Nivala-Haapajärvi;18208;1995
SK177 Ylivieska;21570;1995
SK178 Koillismaa;21328;1995
SK181 Kehys-Kainuu;17139;1995
SK182 Kajaani;23528;1995
SK191 Rovaniemi;24424;1995
SK192 Kemi-Tornio;25517;1995
SK193 Torniolaakso;17438;1995
SK194 Itä-Lappi;20174;1995
SK196 Tunturi-Lappi;19394;1995
SK197 Pohjois-Lappi;22844;1995
SK211 Mariehamns stad;32213;1995
SK212 Ålands landsbygd;30259;1995
SK213 Ålands skärgård;24174;1995
WHOLE COUNTRY;26980;1996
Akaa;23052;1996
Alajärvi;18873;1996
Alavieska;16919;1996
Alavus;19051;1996
Asikkala;22565;1996
Askola;29237;1996
Aura;27752;1996
Brändö;28812;1996
Eckerö;26868;1996
Enonkoski;15872;1996
Enontekiö;21075;1996
Espoo;45117;1996
Eura;25157;1996
Eurajoki;27433;1996
Evijärvi;17571;1996
Finström;32564;1996
Forssa;22757;1996
Föglö;24776;1996
Geta;19414;1996
Haapajärvi;20311;1996
Haapavesi;21071;1996
Hailuoto;19711;1996
Halsua;15377;1996
Hamina;27709;1996
Hammarland;29038;1996
Hankasalmi;15924;1996
Hanko;30753;1996
Harjavalta;27823;1996
Hartola;14287;1996
Hattula;28761;1996
Hausjärvi;25965;1996
Heinola;25170;1996
Heinävesi;15605;1996
Helsinki;30881;1996
Hirvensalmi;12621;1996
Hollola;29115;1996
Huittinen;20020;1996
Humppila;17835;1996
Hyrynsalmi;15808;1996
Hyvinkää;30240;1996
Hämeenkyrö;23675;1996
Hämeenlinna;24137;1996
Ii;20696;1996
Iisalmi;22607;1996
Iitti;20172;1996
Ikaalinen;20685;1996
Ilmajoki;22109;1996
Ilomantsi;16148;1996
Imatra;25279;1996
Inari;24276;1996
Ingå;30645;1996
Isojoki;11683;1996
Isokyrö;19232;1996
Janakkala;27423;1996
Joensuu;22208;1996
Jokioinen;26860;1996
Jomala;37367;1996
Joroinen;20687;1996
Joutsa;15017;1996
Juuka;15963;1996
Juupajoki;19484;1996
Juva;16288;1996
Jyväskylä;26100;1996
Jämijärvi;16771;1996
Jämsä;27355;1996
Järvenpää;36613;1996
Kaarina;35323;1996
Kaavi;14897;1996
Kajaani;25929;1996
Kalajoki;21590;1996
Kangasala;29489;1996
Kangasniemi;15551;1996
Kankaanpää;21693;1996
Kannonkoski;12350;1996
Kannus;24104;1996
Karijoki;14080;1996
Karkkila;24305;1996
Karstula;17787;1996
Karvia;13319;1996
Kaskinen;36069;1996
Kauhajoki;18099;1996
Kauhava;20820;1996
Kauniainen;60675;1996
Kaustinen;22373;1996
Keitele;18234;1996
Kemi;24773;1996
Kemijärvi;23469;1996
Keminmaa;30420;1996
Kimitoön;21266;1996
Kempele;37057;1996
Kerava;37705;1996
Keuruu;21102;1996
Kihniö;16871;1996
Kinnula;14334;1996
Kirkkonummi;42756;1996
Kitee;19218;1996
Kittilä;19111;1996
Kiuruvesi;14291;1996
Kivijärvi;12465;1996
Kokemäki;21309;1996
Kokkola;26137;1996
Kolari;18100;1996
Konnevesi;16548;1996
